#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Fri Aug 27 23:05:36 EDT 2021,20,20,GreetingMainProvided,GreetingClassRegistryProvided+ , ,GreetingMainProvided+ ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun ,
1,Fri Aug 27 23:05:42 EDT 2021,20,0,GreetingMainProvided,GreetingClassRegistryProvided , ,GreetingMainProvided ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun ,
2,Fri Aug 27 23:05:44 EDT 2021,20,0,GreetingClassRegistryProvided,GreetingClassRegistryProvided , ,GreetingMainProvided ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun ,
3,Fri Aug 27 23:05:46 EDT 2021,20,0,GreetingClassRegistryProvided,GreetingClassRegistryProvided , ,GreetingMainProvided ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun ,
4,Fri Aug 27 23:05:46 EDT 2021,20,0,A01Style,GreetingClassRegistryProvided , ,A01MnemonicNames+ A01NoCheckstyleWarnings+ GreetingMainProvided ,GreetingRun ,
5,Fri Aug 27 23:05:47 EDT 2021,20,0,A01Style,GreetingClassRegistryProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingMainProvided ,GreetingRun ,
6,Fri Aug 27 23:05:48 EDT 2021,20,0,GreetingRun,GreetingClassRegistryProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingMainProvided GreetingRun+ , ,
7,Fri Aug 27 23:05:48 EDT 2021,20,0,GreetingRun,GreetingClassRegistryProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingMainProvided GreetingRun , ,
8,Fri Aug 27 23:09:44 EDT 2021,40,20,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided+ , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,
9,Fri Aug 27 23:09:47 EDT 2021,40,0,GreetingClassRegistryProvided,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,
10,Fri Aug 27 23:09:56 EDT 2021,40,0,A01Style,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,
11,Fri Aug 27 23:09:58 EDT 2021,40,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,
12,Fri Aug 27 23:13:06 EDT 2021,40,0,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,
13,Fri Aug 27 23:13:08 EDT 2021,40,0,GreetingClassRegistryProvided,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,
14,Fri Aug 27 23:13:10 EDT 2021,40,0,A01Style,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,
15,Fri Aug 27 23:13:55 EDT 2021,40,0,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,
16,Fri Aug 27 23:13:58 EDT 2021,40,0,A01Style,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,
17,Fri Aug 27 23:39:57 EDT 2021,40,0,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,
18,Fri Aug 27 23:40:00 EDT 2021,60,20,A01Style,A01MnemonicNames+ GreetingClassRegistryProvided GreetingMainProvided , ,A01NoCheckstyleWarnings GreetingRun , ,
19,Fri Aug 27 23:40:02 EDT 2021,60,0,GreetingRun,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided , ,A01NoCheckstyleWarnings GreetingRun , ,
20,Fri Aug 27 23:44:10 EDT 2021,60,0,GreetingMainProvided,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided , ,A01NoCheckstyleWarnings GreetingRun , ,
21,Fri Aug 27 23:44:13 EDT 2021,60,0,A01Style,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided , ,A01NoCheckstyleWarnings GreetingRun , ,
22,Fri Aug 27 23:44:37 EDT 2021,80,20,GreetingRun,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun+ , ,A01NoCheckstyleWarnings , ,
23,Fri Aug 27 23:49:26 EDT 2021,80,0,GreetingMainProvided,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,
24,Fri Aug 27 23:49:27 EDT 2021,80,0,GreetingClassRegistryProvided,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,
25,Fri Aug 27 23:49:30 EDT 2021,80,0,A01Style,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,
26,Fri Aug 27 23:49:36 EDT 2021,80,0,GreetingRun,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,
27,Fri Aug 27 23:50:18 EDT 2021,80,0,GreetingMainProvided,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,
28,Fri Aug 27 23:50:21 EDT 2021,80,0,A01Style,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,
29,Fri Aug 27 23:50:24 EDT 2021,80,0,GreetingRun,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,
30,Fri Aug 27 23:54:14 EDT 2021,80,0,GreetingMainProvided,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,
31,Fri Aug 27 23:54:17 EDT 2021,60,-20,A01Style,GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A01MnemonicNames- ,A01NoCheckstyleWarnings , ,
32,Fri Aug 27 23:54:19 EDT 2021,60,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A01MnemonicNames ,A01NoCheckstyleWarnings , ,
33,Fri Aug 27 23:54:21 EDT 2021,60,0,A01MnemonicNames,GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A01MnemonicNames ,A01NoCheckstyleWarnings , ,
34,Fri Aug 27 23:54:49 EDT 2021,60,0,A01Style,GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A01MnemonicNames ,A01NoCheckstyleWarnings , ,
35,Fri Aug 27 23:56:43 EDT 2021,60,0,A01Style,GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A01MnemonicNames ,A01NoCheckstyleWarnings , ,
36,Fri Aug 27 23:56:45 EDT 2021,60,0,A01MnemonicNames,GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A01MnemonicNames ,A01NoCheckstyleWarnings , ,
37,Fri Aug 27 23:57:11 EDT 2021,60,0,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A01MnemonicNames ,A01NoCheckstyleWarnings , ,
38,Fri Aug 27 23:57:14 EDT 2021,60,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A01MnemonicNames ,A01NoCheckstyleWarnings , ,
39,Fri Aug 27 23:57:56 EDT 2021,60,0,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A01MnemonicNames ,A01NoCheckstyleWarnings , ,
40,Fri Aug 27 23:57:59 EDT 2021,80,20,A01Style,A01MnemonicNames+ GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,
41,Fri Aug 27 23:58:01 EDT 2021,80,0,GreetingRun,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,
42,Sat Aug 28 00:01:31 EDT 2021,80,0,GreetingMainProvided,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,
43,Sat Aug 28 00:01:34 EDT 2021,80,0,A01Style,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,
44,Sat Aug 28 00:01:35 EDT 2021,80,0,GreetingRun,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,
45,Sat Aug 28 00:16:34 EDT 2021,80,0,GreetingMainProvided,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,
46,Sat Aug 28 00:16:37 EDT 2021,80,0,A01Style,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,
47,Sat Aug 28 00:16:38 EDT 2021,80,0,GreetingRun,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,
48,Sat Aug 28 00:25:58 EDT 2021,80,0,GreetingClassRegistryProvided,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,
49,Sat Aug 28 00:25:59 EDT 2021,80,0,GreetingMainProvided,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,
50,Sat Aug 28 00:26:02 EDT 2021,80,0,A01Style,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,
51,Sat Aug 28 00:26:05 EDT 2021,80,0,GreetingRun,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,
