#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
0,Fri Aug 27 23:05:36 EDT 2021,20,20,GreetingMainProvided,GreetingClassRegistryProvided+ , ,GreetingMainProvided+ ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun ,0,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(0.0/2.0) , ,
1,Fri Aug 27 23:05:42 EDT 2021,20,0,GreetingMainProvided,GreetingClassRegistryProvided , ,GreetingMainProvided ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun ,0,1,false, , , ,GreetingMainProvided-(0.0/2.0) , ,
2,Fri Aug 27 23:05:44 EDT 2021,20,0,GreetingClassRegistryProvided,GreetingClassRegistryProvided , ,GreetingMainProvided ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun ,0,2,false, , , ,GreetingClassRegistryProvided-(2.0/2.0) , ,
3,Fri Aug 27 23:05:46 EDT 2021,20,0,GreetingClassRegistryProvided,GreetingClassRegistryProvided , ,GreetingMainProvided ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun ,0,3,false, , , ,GreetingClassRegistryProvided-(2.0/2.0) , ,
4,Fri Aug 27 23:05:46 EDT 2021,20,0,A01Style,GreetingClassRegistryProvided , ,A01MnemonicNames+ A01NoCheckstyleWarnings+ GreetingMainProvided ,GreetingRun ,0,4,true,A01MnemonicNames A01NoCheckstyleWarnings , ,A01NoCheckstyleWarnings ,A01MnemonicNames-(0.0/2.0) A01NoCheckstyleWarnings-(0.0/2.0) , ,
5,Fri Aug 27 23:05:47 EDT 2021,20,0,A01Style,GreetingClassRegistryProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingMainProvided ,GreetingRun ,0,5,true,A01MnemonicNames A01NoCheckstyleWarnings , ,A01NoCheckstyleWarnings ,A01MnemonicNames-(0.0/2.0) A01NoCheckstyleWarnings-(0.0/2.0) , ,
6,Fri Aug 27 23:05:48 EDT 2021,20,0,GreetingRun,GreetingClassRegistryProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingMainProvided GreetingRun+ , ,0,6,false, , , ,GreetingRun-(0.0/6.0) , ,
7,Fri Aug 27 23:05:48 EDT 2021,20,0,GreetingRun,GreetingClassRegistryProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingMainProvided GreetingRun , ,0,7,false, , , ,GreetingRun-(0.0/6.0) , ,
8,Fri Aug 27 23:09:44 EDT 2021,40,20,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided+ , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,1,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
9,Fri Aug 27 23:09:47 EDT 2021,40,0,GreetingClassRegistryProvided,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,1,1,false, , , ,GreetingClassRegistryProvided-(2.0/2.0) , ,
10,Fri Aug 27 23:09:56 EDT 2021,40,0,A01Style,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,1,2,true,A01MnemonicNames A01NoCheckstyleWarnings , ,A01NoCheckstyleWarnings ,A01MnemonicNames-(0.0/2.0) A01NoCheckstyleWarnings-(0.0/2.0) , ,
11,Fri Aug 27 23:09:58 EDT 2021,40,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,1,3,false, , , ,GreetingRun-(0.0/6.0) , ,
12,Fri Aug 27 23:13:06 EDT 2021,40,0,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,2,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
