Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Tue Sep 21 19:58:28 EDT 2021,SocialDistancing.java,1632268708182,192899,0,(I)7(D)1(I)1,0.8888888888888888,11.11111111111111,0.0,0.0,0.0,0.0,0.046875,0.0,0.005208333333333333,0.0,0.0,0.0,0.041666666666666664,0.0,[]
,/modelData/A0UserStudy2010.arff,Tue Sep 21 19:58:28 EDT 2021,SocialDistancing.java, 1632268708182
2,,Tue Sep 21 20:01:41 EDT 2021,SocialDistancing.java,1632268901081,41640,0,(F)2(I)1(R)6(I)3(R)2(I)4,0.4444444444444444,0.0,0.0,11.11111111111111,0.0,0.0,0.43902439024390244,0.0,0.0,0.04878048780487805,0.0,0.1951219512195122,0.1951219512195122,2.0,[1632268910908 2 print integer list array java - Google Search https://www.google.com/search?q=print+integer+list+array+java&rlz=1C1VDKB_enUS959US959&oq=print+inte&aqs=chrome.1.69i57j69i59l2j0i512l7.4102j0j7&sourceid=chrome&ie=UTF-8, 1632268912789 1 How to print out all the elements of a List in Java? - Stack Overflow https://stackoverflow.com/questions/10168066/how-to-print-out-all-the-elements-of-a-list-in-java]
3,,Tue Sep 21 20:02:23 EDT 2021,UtilityClassTester.java,1632268943216,14902,0,(I)3(F)2(I)6,0.8181818181818182,0.0,0.0,18.181818181818183,0.0,0.0,0.7857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.6428571428571429,0.0,[]
4,,Tue Sep 21 20:02:38 EDT 2021,SocialDistancing.java,1632268958156,-430745,-430745,(I)1(D)1(I)1(F)2(I)1(F)2(I)3,0.5454545454545454,9.090909090909092,0.0,36.36363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
5,,Tue Sep 21 19:55:28 EDT 2021,SocialDistancing.java,1632268528430,952317,0,(I)5(R)1(I)1(R)1(I)6,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0021008403361344537,0.012605042016806723,5.0,[1632268910908 2 print integer list array java - Google Search https://www.google.com/search?q=print+integer+list+array+java&rlz=1C1VDKB_enUS959US959&oq=print+inte&aqs=chrome.1.69i57j69i59l2j0i512l7.4102j0j7&sourceid=chrome&ie=UTF-8, 1632268912789 1 How to print out all the elements of a List in Java? - Stack Overflow https://stackoverflow.com/questions/10168066/how-to-print-out-all-the-elements-of-a-list-in-java, 1632269336537 2 overriding in java - Google Search https://www.google.com/search?q=overriding+in+java&rlz=1C1VDKB_enUS959US959&oq=overriding+&aqs=chrome.3.69i57j0i433i512j0i512j0i67j0i512l6.8768j0j7&sourceid=chrome&ie=UTF-8, 1632269341935 1 Overriding in Java - GeeksforGeeks https://www.geeksforgeeks.org/overriding-in-java/]
6,,Tue Sep 21 20:11:21 EDT 2021,SocialDistancing.java,1632269481956,21852,0,(I)12(R)1(I)4,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.8095238095238095,0.0,0.0,0.0,0.0,0.047619047619047616,0.7619047619047619,0.0,[]
7,,Tue Sep 21 20:11:43 EDT 2021,SocialDistancing.java,1632269503808,42586,0,(I)12(F)5,0.7058823529411765,0.0,0.0,29.411764705882355,0.0,0.0,0.40476190476190477,0.0,0.0,0.11904761904761904,0.0,0.0,0.2857142857142857,0.0,[]
8,,Tue Sep 21 20:12:26 EDT 2021,SocialDistancing.java,1632269546553,40603,0,(F)1(I)1(F)10(I)1(F)4,0.11764705882352941,0.0,0.0,88.23529411764706,0.0,0.0,0.425,0.0,0.0,0.375,0.0,0.0,0.05,0.0,[]
9,,Tue Sep 21 20:13:07 EDT 2021,SocialDistancing.java,1632269587156,-93448,-93448,(F)2(I)5(F)4(I)4(R)1,0.5625,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
10,,Tue Sep 21 20:11:36 EDT 2021,SocialDistancing.java,1632269496303,374283,0,(I)8(R)8(I)6,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0213903743315508,0.0374331550802139,2.0,[1632269814196 3 Convert Integer List to an int array in Java – Techie Delight https://www.techiedelight.com/convert-list-integer-array-int/, 1632269811682 2 list integer array in java - Google Search https://www.google.com/search?q=list+integer+array+in+java&rlz=1C1VDKB_enUS959US959&oq=list+integer+array&aqs=chrome.0.69i59j69i57j0i512j0i22i30l7.3416j0j7&sourceid=chrome&ie=UTF-8]
11,,Tue Sep 21 20:17:50 EDT 2021,SocialDistancing.java,1632269870586,13384,0,(I)6(R)1(I)12,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,1.4615384615384615,0.0,0.0,0.0,0.0,0.07692307692307693,1.3846153846153846,0.0,[]
12,,Tue Sep 21 20:18:05 EDT 2021,SocialDistancing.java,1632269885548,24339,0,(I)8(R)1(I)5(R)3,0.7647058823529411,0.0,0.0,0.0,0.0,0.0,0.7083333333333334,0.0,0.0,0.0,0.0,0.16666666666666666,0.5416666666666666,0.0,[]
13,,Tue Sep 21 20:18:29 EDT 2021,SocialDistancing.java,1632269909917,9562,9562,(I)5(R)1(R I)2(I)3,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,1.2222222222222223,0.0,0.0,0.0,0.0,0.3333333333333333,1.1111111111111112,0.0,[]
14,,Tue Sep 21 20:18:39 EDT 2021,SocialDistancing.java,1632269919636,13480,0,(I)1(R I)5(R)2(I)1(D)1,0.7,10.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,0.07692307692307693,0.0,0.0,0.5384615384615384,0.5384615384615384,0.0,[]
15,,Tue Sep 21 20:18:53 EDT 2021,SocialDistancing.java,1632269933205,28839,0,(I)2(R)1(I)2(R)1(I)1(R)2(I)1(R)3(I)1(R)1,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.5357142857142857,0.0,0.0,0.0,0.0,0.2857142857142857,0.25,0.0,[]
16,,Tue Sep 21 20:19:22 EDT 2021,SocialDistancing.java,1632269962223,8930,8930,(R)2(I)2(R)1(I)3(R)2(I)3(R)1(I)1(R I)3,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,1.125,1.5,0.0,[]
17,,Tue Sep 21 20:19:31 EDT 2021,SocialDistancing.java,1632269971434,45842,0,(R I)1(R)2(I)7,0.8,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.06666666666666667,0.17777777777777778,0.0,[]
18,,Tue Sep 21 20:20:17 EDT 2021,SocialDistancing.java,1632270017660,69349,0,(I)1,1.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,[]
19,,Tue Sep 21 20:21:27 EDT 2021,SocialDistancing.java,1632270087343,15099,0,(R)9(I)1(D)1(I)1(F)1,0.15384615384615385,7.6923076923076925,0.0,7.6923076923076925,0.0,0.0,0.8666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.6,0.13333333333333333,0.0,[]
20,,Tue Sep 21 20:23:05 EDT 2021,SocialDistancing.java,1632270185841,93053,0,(F)3(I)7(R)4,0.5,0.0,0.0,21.428571428571427,0.0,0.0,0.15053763440860216,0.0,0.0,0.03225806451612903,0.0,0.043010752688172046,0.07526881720430108,0.0,[]
21,,Tue Sep 21 20:24:39 EDT 2021,SocialDistancing.java,1632270279681,130312,0,(F)2(I)3(F)2(I)9,0.75,0.0,0.0,25.0,0.0,0.0,0.12307692307692308,0.0,0.0,0.03076923076923077,0.0,0.0,0.09230769230769231,5.0,[1632270335556 2 java print data type and hashmap key - Google Search https://www.google.com/search?q=java+prints+data+type+and+hashmap+key&rlz=1C1VDKB_enUS959US959&sxsrf=AOaemvLErGk5F8o3NQDcqiKV9ICD_9n0iw%3A1632270111217&ei=H3dKYYDSDIi7tAajjKSYAQ&oq=java+prints+data+type+and+hash&gs_lcp=Cgdnd3Mtd2l6EAMYATIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjoECCMQJzoECAAQQzoKCAAQgAQQhwIQFDoFCAAQkQI6DQgAEIAEEIcCELEDEBQ6CwgAELEDEIMBEJECOgoIABCxAxCDARBDOggIABCxAxCRAjoHCAAQsQMQQzoICAAQgAQQsQM6CwgAEIAEELEDEIMBOgUIABCABDoHCAAQgAQQCjoGCAAQFhAeOggIABAWEAoQHjoJCAAQyQMQFhAeOgUIIRCgAToECAAQDToICAAQCBANEB5KBAhBGABQyYcNWKKzDWCTwQ1oAHACeACAAc4BiAGOIZIBBjAuMjkuMZgBAKABAcABAQ&sclient=gws-wiz, 1632270346712 2 java print data type and address - Google Search https://www.google.com/search?q=java+print+data+type+and+address&rlz=1C1VDKB_enUS959US959&sxsrf=AOaemvK2Efkq7CGSdEU0_Rb-2vFB5CpCHA%3A1632270333582&ei=_XdKYcHgIsaMtAaW57_wAw&oq=java+print+data+type+and+adress&gs_lcp=Cgdnd3Mtd2l6EAMYADIHCCEQChCgATIHCCEQChCgAToHCAAQRxCwAzoICCEQFhAdEB46BQgAEM0CSgQIQRgAUNxDWNBJYK1OaABwAngAgAHAAYgB8gaSAQMwLjaYAQCgAQHIAQjAAQE&sclient=gws-wiz, 1632270363229 2 java print value instead of data type and address - Google Search https://www.google.com/search?q=java+print+value+instead+of+data+type+and+address&rlz=1C1VDKB_enUS959US959&sxsrf=AOaemvKubQcaZZMQZzovclKDkOdf6HykQA%3A1632270344804&ei=CHhKYbLGMIa-tQaFlIXICw&oq=java+print+value+instead+of+data+type+and+address&gs_lcp=Cgdnd3Mtd2l6EAMyBQgAEM0COgcIABBHELADOgQIIxAnSgQIQRgAUIlCWNJ1YJ93aAJwAngAgAHqAYgBnCCSAQYwLjI5LjGYAQCgAQHIAQi4AQLAAQE&sclient=gws-wiz&ved=0ahUKEwiy6tDwqJHzAhUGX80KHQVKAbkQ4dUDCA4&uact=5, 1632270364207 1 arrays - printing memory address instead of data in java - Stack Overflow https://stackoverflow.com/questions/32216773/printing-memory-address-instead-of-data-in-java]
22,,Tue Sep 21 20:26:53 EDT 2021,SocialDistancing.java,1632270413235,40974,0,(I)5(F)2(I)6(R)1(I)2,0.8125,0.0,0.0,12.5,0.0,0.0,0.4,0.0,0.0,0.05,0.0,0.025,0.325,0.0,[]
