Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
a2.InferringMain,inferring:main,@SocialDistanceMVCInferringMain,social:distance:mvc:inferring:main,main,main,none,none,a2.ModelFactory,model:factory,@SocialDistanceModelFactory,social:distance:model:factory,setSingleton,set:singleton
a2.InferringMain,inferring:main,@SocialDistanceMVCInferringMain,social:distance:mvc:inferring:main,main,main,none,none,a2.InferredModel,inferred:model,@SocialDistancInferringModel,social:inferring:model,InferredModel,inferred:model
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,isInterpolatedSafe,is:interpolated:safe,none,none,a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,distanceLowInterpolation,distance:low:interpolation
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,isInterpolatedSafe,is:interpolated:safe,none,none,a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,durationHighInterpolation,duration:high:interpolation
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,isInterpolatedSafe,is:interpolated:safe,none,none,a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,exhaleHighInterpolation,exhale:high:interpolation
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,isInterpolatedSafe,is:interpolated:safe,none,none,a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,isGivenSafe,is:given:safe
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,isInterpolatedSafe,is:interpolated:safe,none,none,a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,distanceLowInterpolation,distance:low:interpolation
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,isInterpolatedSafe,is:interpolated:safe,none,none,a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,durationHighInterpolation,duration:high:interpolation
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,isInterpolatedSafe,is:interpolated:safe,none,none,a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,isInterpolatedSafe,is:interpolated:safe
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,isInterpolatedSafe,is:interpolated:safe,none,none,a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,distanceLowInterpolation,distance:low:interpolation
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,isInterpolatedSafe,is:interpolated:safe,none,none,a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,isInterpolatedSafe,is:interpolated:safe
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGivenCombinations,print:given:combinations,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGivenCombinations,print:given:combinations,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGivenCombinations,print:given:combinations,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGivenCombinations,print:given:combinations,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGivenCombinations,print:given:combinations,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGivenCombinations,print:given:combinations,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGivenCombinations,print:given:combinations,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGivenCombinations,print:given:combinations,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGivenCombinations,print:given:combinations,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGeneratedCombinationDerivedSafety,print:generated:combination:derived:safety,none,none,Math,math,java.lang.Math,math,random,random
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGeneratedCombinationDerivedSafety,print:generated:combination:derived:safety,none,none,Math,math,java.lang.Math,math,random,random
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGeneratedCombinationDerivedSafety,print:generated:combination:derived:safety,none,none,Math,math,java.lang.Math,math,random,random
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGeneratedCombinationDerivedSafety,print:generated:combination:derived:safety,none,none,a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,isDerivedSafe,is:derived:safe
