#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
0,Wed Apr 27 20:58:46 EDT 2022,2,2,PrologGreetingLoadAndRun,PrologGreetingLoadAndRun+ , , ,APrologProgramGenerator DerivedSafe_OffTableFalseTest DerivedSafe_OffTableTrueTest DerivedSafe_OutputGeneration DerivedSafe_TableTest ExpectedDocsDerivedSafe ExpectedDocsListGivenSafe ExpectedDocsPrintGivenCombinations GenerateSafeDistancesAndDurations_FalseValueTest GenerateSafeDistancesAndDurations_OutputGeneration GenerateSafeDistancesAndDurations_TrueValueTest GivenSafe_OutputGeneration GivenSafe_TableTest GivenSizes_OutputGeneration GivenSizes_TableTest InterpolatedSafe_OffTableFalseTest InterpolatedSafe_OffTableTrueTest InterpolatedSafe_OneParamFalseValueTest InterpolatedSafe_OneParamTrueValueTest InterpolatedSafe_OutputGeneration InterpolatedSafe_OutputGeneration_OneTwoParam InterpolatedSafe_TableTest InterpolatedSafe_TwoParamFalseValueTest InterpolatedSafe_TwoParamTrueValueTest ListGenerateSafeDistancesAndDurations_FalseValueTest ListGenerateSafeDistancesAndDurations_OutputGeneration ListGenerateSafeDistancesAndDurations_TrueValueTest ListGivenSafe_OutputGeneration ListGivenSafe_SafeTupleTest ListGivenSafe_ValuesTest PrintGivenCombinatations_NonTableSizedInputs PrintGivenCombinations_OutputGeneration PrintGivenCombinations_TableSizedInputs PrologMnemonicNamesTest SocialDistanceMagicNumbersTest SocialDistancePlProvided SocialDistanceRecursiveTest SocialDiststancePlNoExternalFunctionsTest ,0,0,false, , , ,PrologGreetingLoadAndRun-(10.0/10.0) , ,
1,Wed Apr 27 20:58:48 EDT 2022,2,0,GenerateSafeDistancesAndDurationsTestSuite,PrologGreetingLoadAndRun , ,APrologProgramGenerator+ GenerateSafeDistancesAndDurations_FalseValueTest+ GenerateSafeDistancesAndDurations_OutputGeneration+ GenerateSafeDistancesAndDurations_TrueValueTest+ SocialDistancePlProvided+ SocialDiststancePlNoExternalFunctionsTest+ ,DerivedSafe_OffTableFalseTest DerivedSafe_OffTableTrueTest DerivedSafe_OutputGeneration DerivedSafe_TableTest ExpectedDocsDerivedSafe ExpectedDocsListGivenSafe ExpectedDocsPrintGivenCombinations GivenSafe_OutputGeneration GivenSafe_TableTest GivenSizes_OutputGeneration GivenSizes_TableTest InterpolatedSafe_OffTableFalseTest InterpolatedSafe_OffTableTrueTest InterpolatedSafe_OneParamFalseValueTest InterpolatedSafe_OneParamTrueValueTest InterpolatedSafe_OutputGeneration InterpolatedSafe_OutputGeneration_OneTwoParam InterpolatedSafe_TableTest InterpolatedSafe_TwoParamFalseValueTest InterpolatedSafe_TwoParamTrueValueTest ListGenerateSafeDistancesAndDurations_FalseValueTest ListGenerateSafeDistancesAndDurations_OutputGeneration ListGenerateSafeDistancesAndDurations_TrueValueTest ListGivenSafe_OutputGeneration ListGivenSafe_SafeTupleTest ListGivenSafe_ValuesTest PrintGivenCombinatations_NonTableSizedInputs PrintGivenCombinations_OutputGeneration PrintGivenCombinations_TableSizedInputs PrologMnemonicNamesTest SocialDistanceMagicNumbersTest SocialDistanceRecursiveTest ,0,1,true,GenerateSafeDistancesAndDurations_FalseValueTest GenerateSafeDistancesAndDurations_OutputGeneration GenerateSafeDistancesAndDurations_TrueValueTest ,APrologProgramGenerator SocialDistancePlProvided SocialDiststancePlNoExternalFunctionsTest , ,GenerateSafeDistancesAndDurations_FalseValueTest-(0.0/4.0) GenerateSafeDistancesAndDurations_OutputGeneration-(0.0/2.0) GenerateSafeDistancesAndDurations_TrueValueTest-(0.0/8.0) , ,
2,Wed Apr 27 21:02:25 EDT 2022,2,0,PrologGreetingLoadAndRun,PrologGreetingLoadAndRun , ,APrologProgramGenerator GenerateSafeDistancesAndDurations_FalseValueTest GenerateSafeDistancesAndDurations_OutputGeneration GenerateSafeDistancesAndDurations_TrueValueTest SocialDistancePlProvided SocialDiststancePlNoExternalFunctionsTest ,DerivedSafe_OffTableFalseTest DerivedSafe_OffTableTrueTest DerivedSafe_OutputGeneration DerivedSafe_TableTest ExpectedDocsDerivedSafe ExpectedDocsListGivenSafe ExpectedDocsPrintGivenCombinations GivenSafe_OutputGeneration GivenSafe_TableTest GivenSizes_OutputGeneration GivenSizes_TableTest InterpolatedSafe_OffTableFalseTest InterpolatedSafe_OffTableTrueTest InterpolatedSafe_OneParamFalseValueTest InterpolatedSafe_OneParamTrueValueTest InterpolatedSafe_OutputGeneration InterpolatedSafe_OutputGeneration_OneTwoParam InterpolatedSafe_TableTest InterpolatedSafe_TwoParamFalseValueTest InterpolatedSafe_TwoParamTrueValueTest ListGenerateSafeDistancesAndDurations_FalseValueTest ListGenerateSafeDistancesAndDurations_OutputGeneration ListGenerateSafeDistancesAndDurations_TrueValueTest ListGivenSafe_OutputGeneration ListGivenSafe_SafeTupleTest ListGivenSafe_ValuesTest PrintGivenCombinatations_NonTableSizedInputs PrintGivenCombinations_OutputGeneration PrintGivenCombinations_TableSizedInputs PrologMnemonicNamesTest SocialDistanceMagicNumbersTest SocialDistanceRecursiveTest ,1,0,false, , , ,PrologGreetingLoadAndRun-(10.0/10.0) , ,
3,Wed Apr 27 21:02:27 EDT 2022,2,0,PrologGreetingLoadAndRun,PrologGreetingLoadAndRun , ,APrologProgramGenerator GenerateSafeDistancesAndDurations_FalseValueTest GenerateSafeDistancesAndDurations_OutputGeneration GenerateSafeDistancesAndDurations_TrueValueTest SocialDistancePlProvided SocialDiststancePlNoExternalFunctionsTest ,DerivedSafe_OffTableFalseTest DerivedSafe_OffTableTrueTest DerivedSafe_OutputGeneration DerivedSafe_TableTest ExpectedDocsDerivedSafe ExpectedDocsListGivenSafe ExpectedDocsPrintGivenCombinations GivenSafe_OutputGeneration GivenSafe_TableTest GivenSizes_OutputGeneration GivenSizes_TableTest InterpolatedSafe_OffTableFalseTest InterpolatedSafe_OffTableTrueTest InterpolatedSafe_OneParamFalseValueTest InterpolatedSafe_OneParamTrueValueTest InterpolatedSafe_OutputGeneration InterpolatedSafe_OutputGeneration_OneTwoParam InterpolatedSafe_TableTest InterpolatedSafe_TwoParamFalseValueTest InterpolatedSafe_TwoParamTrueValueTest ListGenerateSafeDistancesAndDurations_FalseValueTest ListGenerateSafeDistancesAndDurations_OutputGeneration ListGenerateSafeDistancesAndDurations_TrueValueTest ListGivenSafe_OutputGeneration ListGivenSafe_SafeTupleTest ListGivenSafe_ValuesTest PrintGivenCombinatations_NonTableSizedInputs PrintGivenCombinations_OutputGeneration PrintGivenCombinations_TableSizedInputs PrologMnemonicNamesTest SocialDistanceMagicNumbersTest SocialDistanceRecursiveTest ,1,1,false, , , ,PrologGreetingLoadAndRun-(10.0/10.0) , ,
4,Wed Apr 27 21:03:00 EDT 2022,17,15,GenerateSafeDistancesAndDurationsTestSuite,APrologProgramGenerator+ GenerateSafeDistancesAndDurations_FalseValueTest+ GenerateSafeDistancesAndDurations_OutputGeneration+ GenerateSafeDistancesAndDurations_TrueValueTest+ PrologGreetingLoadAndRun SocialDistancePlProvided+ SocialDiststancePlNoExternalFunctionsTest+ , , ,DerivedSafe_OffTableFalseTest DerivedSafe_OffTableTrueTest DerivedSafe_OutputGeneration DerivedSafe_TableTest ExpectedDocsDerivedSafe ExpectedDocsListGivenSafe ExpectedDocsPrintGivenCombinations GivenSafe_OutputGeneration GivenSafe_TableTest GivenSizes_OutputGeneration GivenSizes_TableTest InterpolatedSafe_OffTableFalseTest InterpolatedSafe_OffTableTrueTest InterpolatedSafe_OneParamFalseValueTest InterpolatedSafe_OneParamTrueValueTest InterpolatedSafe_OutputGeneration InterpolatedSafe_OutputGeneration_OneTwoParam InterpolatedSafe_TableTest InterpolatedSafe_TwoParamFalseValueTest InterpolatedSafe_TwoParamTrueValueTest ListGenerateSafeDistancesAndDurations_FalseValueTest ListGenerateSafeDistancesAndDurations_OutputGeneration ListGenerateSafeDistancesAndDurations_TrueValueTest ListGivenSafe_OutputGeneration ListGivenSafe_SafeTupleTest ListGivenSafe_ValuesTest PrintGivenCombinatations_NonTableSizedInputs PrintGivenCombinations_OutputGeneration PrintGivenCombinations_TableSizedInputs PrologMnemonicNamesTest SocialDistanceMagicNumbersTest SocialDistanceRecursiveTest ,1,2,true,GenerateSafeDistancesAndDurations_FalseValueTest GenerateSafeDistancesAndDurations_OutputGeneration GenerateSafeDistancesAndDurations_TrueValueTest ,APrologProgramGenerator SocialDistancePlProvided SocialDiststancePlNoExternalFunctionsTest , ,GenerateSafeDistancesAndDurations_FalseValueTest-(4.0/4.0) GenerateSafeDistancesAndDurations_OutputGeneration-(2.0/2.0) GenerateSafeDistancesAndDurations_TrueValueTest-(8.0/8.0) , ,
5,Wed Apr 27 21:03:03 EDT 2022,17,0,GenerateSafeDistancesAndDurationsTestSuite,APrologProgramGenerator GenerateSafeDistancesAndDurations_FalseValueTest GenerateSafeDistancesAndDurations_OutputGeneration GenerateSafeDistancesAndDurations_TrueValueTest PrologGreetingLoadAndRun SocialDistancePlProvided SocialDiststancePlNoExternalFunctionsTest , , ,DerivedSafe_OffTableFalseTest DerivedSafe_OffTableTrueTest DerivedSafe_OutputGeneration DerivedSafe_TableTest ExpectedDocsDerivedSafe ExpectedDocsListGivenSafe ExpectedDocsPrintGivenCombinations GivenSafe_OutputGeneration GivenSafe_TableTest GivenSizes_OutputGeneration GivenSizes_TableTest InterpolatedSafe_OffTableFalseTest InterpolatedSafe_OffTableTrueTest InterpolatedSafe_OneParamFalseValueTest InterpolatedSafe_OneParamTrueValueTest InterpolatedSafe_OutputGeneration InterpolatedSafe_OutputGeneration_OneTwoParam InterpolatedSafe_TableTest InterpolatedSafe_TwoParamFalseValueTest InterpolatedSafe_TwoParamTrueValueTest ListGenerateSafeDistancesAndDurations_FalseValueTest ListGenerateSafeDistancesAndDurations_OutputGeneration ListGenerateSafeDistancesAndDurations_TrueValueTest ListGivenSafe_OutputGeneration ListGivenSafe_SafeTupleTest ListGivenSafe_ValuesTest PrintGivenCombinatations_NonTableSizedInputs PrintGivenCombinations_OutputGeneration PrintGivenCombinations_TableSizedInputs PrologMnemonicNamesTest SocialDistanceMagicNumbersTest SocialDistanceRecursiveTest ,1,3,true,GenerateSafeDistancesAndDurations_FalseValueTest GenerateSafeDistancesAndDurations_OutputGeneration GenerateSafeDistancesAndDurations_TrueValueTest , , ,GenerateSafeDistancesAndDurations_FalseValueTest-(4.0/4.0) GenerateSafeDistancesAndDurations_OutputGeneration-(2.0/2.0) GenerateSafeDistancesAndDurations_TrueValueTest-(8.0/8.0) , ,
6,Wed Apr 27 21:03:05 EDT 2022,25,8,PrintGivenCombinationsTestSuite,APrologProgramGenerator GenerateSafeDistancesAndDurations_FalseValueTest GenerateSafeDistancesAndDurations_OutputGeneration GenerateSafeDistancesAndDurations_TrueValueTest PrintGivenCombinatations_NonTableSizedInputs+ PrintGivenCombinations_OutputGeneration+ PrintGivenCombinations_TableSizedInputs+ PrologGreetingLoadAndRun SocialDistancePlProvided SocialDiststancePlNoExternalFunctionsTest , , ,DerivedSafe_OffTableFalseTest DerivedSafe_OffTableTrueTest DerivedSafe_OutputGeneration DerivedSafe_TableTest ExpectedDocsDerivedSafe ExpectedDocsListGivenSafe ExpectedDocsPrintGivenCombinations GivenSafe_OutputGeneration GivenSafe_TableTest GivenSizes_OutputGeneration GivenSizes_TableTest InterpolatedSafe_OffTableFalseTest InterpolatedSafe_OffTableTrueTest InterpolatedSafe_OneParamFalseValueTest InterpolatedSafe_OneParamTrueValueTest InterpolatedSafe_OutputGeneration InterpolatedSafe_OutputGeneration_OneTwoParam InterpolatedSafe_TableTest InterpolatedSafe_TwoParamFalseValueTest InterpolatedSafe_TwoParamTrueValueTest ListGenerateSafeDistancesAndDurations_FalseValueTest ListGenerateSafeDistancesAndDurations_OutputGeneration ListGenerateSafeDistancesAndDurations_TrueValueTest ListGivenSafe_OutputGeneration ListGivenSafe_SafeTupleTest ListGivenSafe_ValuesTest PrologMnemonicNamesTest SocialDistanceMagicNumbersTest SocialDistanceRecursiveTest ,1,4,true,PrintGivenCombinatations_NonTableSizedInputs PrintGivenCombinations_OutputGeneration PrintGivenCombinations_TableSizedInputs , , ,PrintGivenCombinatations_NonTableSizedInputs-(18.0/18.0) PrintGivenCombinations_OutputGeneration-(2.0/2.0) PrintGivenCombinations_TableSizedInputs-(22.0/22.0) , ,
7,Wed Apr 27 21:03:06 EDT 2022,25,0,PrintGivenCombinationsTestSuite,APrologProgramGenerator GenerateSafeDistancesAndDurations_FalseValueTest GenerateSafeDistancesAndDurations_OutputGeneration GenerateSafeDistancesAndDurations_TrueValueTest PrintGivenCombinatations_NonTableSizedInputs PrintGivenCombinations_OutputGeneration PrintGivenCombinations_TableSizedInputs PrologGreetingLoadAndRun SocialDistancePlProvided SocialDiststancePlNoExternalFunctionsTest , , ,DerivedSafe_OffTableFalseTest DerivedSafe_OffTableTrueTest DerivedSafe_OutputGeneration DerivedSafe_TableTest ExpectedDocsDerivedSafe ExpectedDocsListGivenSafe ExpectedDocsPrintGivenCombinations GivenSafe_OutputGeneration GivenSafe_TableTest GivenSizes_OutputGeneration GivenSizes_TableTest InterpolatedSafe_OffTableFalseTest InterpolatedSafe_OffTableTrueTest InterpolatedSafe_OneParamFalseValueTest InterpolatedSafe_OneParamTrueValueTest InterpolatedSafe_OutputGeneration InterpolatedSafe_OutputGeneration_OneTwoParam InterpolatedSafe_TableTest InterpolatedSafe_TwoParamFalseValueTest InterpolatedSafe_TwoParamTrueValueTest ListGenerateSafeDistancesAndDurations_FalseValueTest ListGenerateSafeDistancesAndDurations_OutputGeneration ListGenerateSafeDistancesAndDurations_TrueValueTest ListGivenSafe_OutputGeneration ListGivenSafe_SafeTupleTest ListGivenSafe_ValuesTest PrologMnemonicNamesTest SocialDistanceMagicNumbersTest SocialDistanceRecursiveTest ,1,5,true,PrintGivenCombinatations_NonTableSizedInputs PrintGivenCombinations_OutputGeneration PrintGivenCombinations_TableSizedInputs , , ,PrintGivenCombinatations_NonTableSizedInputs-(18.0/18.0) PrintGivenCombinations_OutputGeneration-(2.0/2.0) PrintGivenCombinations_TableSizedInputs-(22.0/22.0) , ,
8,Wed Apr 27 21:03:08 EDT 2022,35,10,InterpolatedSafeTestSuite,APrologProgramGenerator GenerateSafeDistancesAndDurations_FalseValueTest GenerateSafeDistancesAndDurations_OutputGeneration GenerateSafeDistancesAndDurations_TrueValueTest InterpolatedSafe_OffTableFalseTest+ InterpolatedSafe_OffTableTrueTest+ InterpolatedSafe_OutputGeneration+ InterpolatedSafe_TableTest+ PrintGivenCombinatations_NonTableSizedInputs PrintGivenCombinations_OutputGeneration PrintGivenCombinations_TableSizedInputs PrologGreetingLoadAndRun SocialDistancePlProvided SocialDiststancePlNoExternalFunctionsTest , , ,DerivedSafe_OffTableFalseTest DerivedSafe_OffTableTrueTest DerivedSafe_OutputGeneration DerivedSafe_TableTest ExpectedDocsDerivedSafe ExpectedDocsListGivenSafe ExpectedDocsPrintGivenCombinations GivenSafe_OutputGeneration GivenSafe_TableTest GivenSizes_OutputGeneration GivenSizes_TableTest InterpolatedSafe_OneParamFalseValueTest InterpolatedSafe_OneParamTrueValueTest InterpolatedSafe_OutputGeneration_OneTwoParam InterpolatedSafe_TwoParamFalseValueTest InterpolatedSafe_TwoParamTrueValueTest ListGenerateSafeDistancesAndDurations_FalseValueTest ListGenerateSafeDistancesAndDurations_OutputGeneration ListGenerateSafeDistancesAndDurations_TrueValueTest ListGivenSafe_OutputGeneration ListGivenSafe_SafeTupleTest ListGivenSafe_ValuesTest PrologMnemonicNamesTest SocialDistanceMagicNumbersTest SocialDistanceRecursiveTest ,1,6,true,InterpolatedSafe_OffTableFalseTest InterpolatedSafe_OffTableTrueTest InterpolatedSafe_OutputGeneration InterpolatedSafe_TableTest , , ,InterpolatedSafe_OffTableFalseTest-(6.0/6.0) InterpolatedSafe_OffTableTrueTest-(6.0/6.0) InterpolatedSafe_OutputGeneration-(2.0/2.0) InterpolatedSafe_TableTest-(3.0/3.0) , ,
9,Wed Apr 27 21:03:09 EDT 2022,35,0,InterpolatedSafeTestSuite,APrologProgramGenerator GenerateSafeDistancesAndDurations_FalseValueTest GenerateSafeDistancesAndDurations_OutputGeneration GenerateSafeDistancesAndDurations_TrueValueTest InterpolatedSafe_OffTableFalseTest InterpolatedSafe_OffTableTrueTest InterpolatedSafe_OutputGeneration InterpolatedSafe_TableTest PrintGivenCombinatations_NonTableSizedInputs PrintGivenCombinations_OutputGeneration PrintGivenCombinations_TableSizedInputs PrologGreetingLoadAndRun SocialDistancePlProvided SocialDiststancePlNoExternalFunctionsTest , , ,DerivedSafe_OffTableFalseTest DerivedSafe_OffTableTrueTest DerivedSafe_OutputGeneration DerivedSafe_TableTest ExpectedDocsDerivedSafe ExpectedDocsListGivenSafe ExpectedDocsPrintGivenCombinations GivenSafe_OutputGeneration GivenSafe_TableTest GivenSizes_OutputGeneration GivenSizes_TableTest InterpolatedSafe_OneParamFalseValueTest InterpolatedSafe_OneParamTrueValueTest InterpolatedSafe_OutputGeneration_OneTwoParam InterpolatedSafe_TwoParamFalseValueTest InterpolatedSafe_TwoParamTrueValueTest ListGenerateSafeDistancesAndDurations_FalseValueTest ListGenerateSafeDistancesAndDurations_OutputGeneration ListGenerateSafeDistancesAndDurations_TrueValueTest ListGivenSafe_OutputGeneration ListGivenSafe_SafeTupleTest ListGivenSafe_ValuesTest PrologMnemonicNamesTest SocialDistanceMagicNumbersTest SocialDistanceRecursiveTest ,1,7,true,InterpolatedSafe_OffTableFalseTest InterpolatedSafe_OffTableTrueTest InterpolatedSafe_OutputGeneration InterpolatedSafe_TableTest , , ,InterpolatedSafe_OffTableFalseTest-(6.0/6.0) InterpolatedSafe_OffTableTrueTest-(6.0/6.0) InterpolatedSafe_OutputGeneration-(2.0/2.0) InterpolatedSafe_TableTest-(3.0/3.0) , ,
