Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Tue May 03 14:48:59 EDT 2022,example.sml,1651603739532,237193,0,(F)12,0.0,0.0,0.0,100.0,0.0,0.0,0.05063291139240506,0.0,0.0,0.05063291139240506,0.0,0.0,0.0,18.0,[1651603747681 11 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p18, 1651603748455 12 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p19, 1651603748825 11 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p20, 1651603749205 10 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.gf66f48a1e0_3_0, 1651603749892 7 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.gf66f48a1e0_3_5, 1651603751320 7 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p21, 1651603751768 8 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p22, 1651603752833 9 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p23, 1651603877109 11 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p24, 1651603880611 10 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p27, 1651603879988 9 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p26, 1651603750965 6 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.gf66f48a1e0_3_25, 1651603750303 4 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.gf66f48a1e0_3_11, 1651603750675 4 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.gf66f48a1e0_3_17, 1651603879367 10 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p25, 1651603865677 8 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p28, 1651603865401 7 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p29, 1651603864701 4 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p30]
,/modelData/A0UserStudy2010.arff,Tue May 03 14:48:59 EDT 2022,example.sml, 1651603739532
2,,Tue May 03 14:52:56 EDT 2022,example.sml,1651603976725,240877,0,(F)1(D)1(F)10,0.0,8.333333333333332,0.0,91.66666666666666,0.0,0.0,0.05,0.0,0.004166666666666667,0.04583333333333333,0.0,0.0,0.0,39.0,[1651604104150 3 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p7, 1651604104827 5 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p8, 1651604106517 5 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p9, 1651604106687 5 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p10, 1651604107756 5 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p11, 1651604107838 7 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p12, 1651604108655 5 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p13, 1651604110156 5 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p14, 1651604110700 5 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p15, 1651604111050 4 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p16, 1651604111453 7 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p17, 1651604112164 12 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p18, 1651604113009 14 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p19, 1651604113157 13 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p20, 1651604113528 11 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.gf66f48a1e0_3_0, 1651604113857 8 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.gf66f48a1e0_3_5, 1651604115577 9 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p21, 1651604115985 10 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p22, 1651604116740 11 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p23, 1651604117176 13 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p24, 1651604166444 4 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p33, 1651604165752 3 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p32, 1651604167467 2 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p35, 1651604167853 2 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p36, 1651604163221 5 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p31, 1651604161421 18 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p27, 1651604129804 15 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p26, 1651604115212 7 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.gf66f48a1e0_3_25, 1651604114167 5 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.gf66f48a1e0_3_11, 1651604114800 5 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.gf66f48a1e0_3_17, 1651604117586 13 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p25, 1651604161892 17 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p28, 1651604162498 16 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p29, 1651604162840 11 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p30, 1651604166903 1 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p34, 1651604168276 1 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p37, 1651604168662 1 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p38, 1651604168956 1 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p39, 1651604169292 1 installing sml and prolog.pptx - Google Slides https://docs.google.com/presentation/d/1_C2xrNMpfdPWl5swYz2dUouSSsPHun9K/edit#slide=id.p40]
3,,Tue May 03 14:56:57 EDT 2022,RunFA21A4Tests.java,1651604217602,358562,0,(F)4(I)1(F)6(I)1(F)1,0.15384615384615385,0.0,0.0,84.61538461538461,0.0,0.0,0.036312849162011177,0.0,0.0,0.030726256983240222,0.0,0.0,0.00558659217877095,0.0,[]
4,,Tue May 03 15:02:56 EDT 2022,RunFA21A4Tests.java,1651604576164,402045,0,(F)14,0.0,0.0,0.0,100.0,0.0,0.0,0.03482587064676617,0.0,0.0,0.03482587064676617,0.0,0.0,0.0,0.0,[]
5,,Tue May 03 15:09:38 EDT 2022,RunFA21A4Tests.java,1651604978209,265598,0,(F)7(I)3(F)1,0.2727272727272727,0.0,0.0,72.72727272727273,0.0,0.0,0.04150943396226415,0.0,0.0,0.03018867924528302,0.0,0.0,0.011320754716981131,0.0,[]
8,,Tue May 03 15:15:11 EDT 2022,SocialDistancing,1651605311581,295528,0,(F)9(I)2(F)2,0.15384615384615385,0.0,0.0,84.61538461538461,0.0,0.0,0.04406779661016949,0.0,0.0,0.03728813559322034,0.0,0.0,0.006779661016949152,0.0,[]
9,,Tue May 03 15:20:10 EDT 2022,SocialDistancing.sml,1651605610773,65486,0,(F)5,0.0,0.0,0.0,100.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,[]
14,,Tue May 03 15:24:20 EDT 2022,SocialDistance.sml,1651605860496,135751,0,(D)2(F)11,0.0,15.384615384615385,0.0,84.61538461538461,0.0,0.0,0.0962962962962963,0.0,0.014814814814814815,0.08148148148148149,0.0,0.0,0.0,0.0,[]
17,,Tue May 03 15:32:39 EDT 2022,SocialDistance.sml,1651606359352,354715,0,(F)7,0.0,0.0,0.0,100.0,0.0,0.0,0.01977401129943503,0.0,0.0,0.01977401129943503,0.0,0.0,0.0,2.0,[1651606691821 1 smlnj - How to use AND operator in IF statements in SML - Stack Overflow https://stackoverflow.com/questions/13430352/how-to-use-and-operator-in-if-statements-in-sml]
